feature_id,feature_label,feature_role,rank,item_id,source,category,text_sha256,seq_len,max_activation,mean_activation,positive_token_fraction,top_token_position,top_token_text,window_text
22004,The assistant is actively roleplaying a character or persona,target,1,clean_roleplay_persona_0001,clean_room_template,roleplay_persona,cdd505ce387cf9505ace699a439b4c60c26a8934c364beb2f4592090160bcfef,18,0.416015625,0.02311197854578495,0.05555555555555555,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the other players in a formal voice.
22004,The assistant is actively roleplaying a character or persona,target,2,clean_roleplay_persona_0008,clean_room_template,roleplay_persona,68d796446036e6697795024202b226d27de60e1c6537b2743596dcfeaa6fe576,17,0.416015625,0.024471506476402283,0.058823529411764705,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the committee in a calm voice.
22004,The assistant is actively roleplaying a character or persona,target,3,clean_roleplay_persona_0023,clean_room_template,roleplay_persona,c3f37edb8c2609f2a9c9e9af305ada3e59f594eae1b7101ba7d7ebac6381132d,17,0.416015625,0.024471506476402283,0.058823529411764705,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the listener in a dramatic voice.
22004,The assistant is actively roleplaying a character or persona,target,4,clean_roleplay_persona_0021,clean_room_template,roleplay_persona,8744b1370a0c5539e82585e07cb8645caf31c5e281f8d67c99865a94b87f1fdd,17,0.416015625,0.024471506476402283,0.058823529411764705,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the user in a dramatic voice.
22004,The assistant is actively roleplaying a character or persona,target,5,clean_roleplay_persona_0034,clean_room_template,roleplay_persona,df5f0a3b3bd81b14faa25617dc6bdf195b208d6f5f87cdc887eda868b93ba448,17,0.416015625,0.024471506476402283,0.058823529411764705,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the user in a careful voice.
22004,The assistant is actively roleplaying a character or persona,target,6,clean_roleplay_persona_0016,clean_room_template,roleplay_persona,027f8f6c3f25003fa00acb9c6fd4f8b50cbc302b0513961614ad73ac2aeb8377,17,0.416015625,0.024471506476402283,0.058823529411764705,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the committee in a dramatic voice.
22004,The assistant is actively roleplaying a character or persona,target,7,clean_roleplay_persona_0061,clean_room_template,roleplay_persona,11a62bc52418a4592bf44996c1e294e63524bed012dc5fa8912b64396267476d,17,0.416015625,0.024471506476402283,0.058823529411764705,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the user in a calm voice.
22004,The assistant is actively roleplaying a character or persona,target,8,clean_roleplay_persona_0043,clean_room_template,roleplay_persona,52b62b9cd0eee6b472aeb439e218c1f529b747a4353afdcb1b7fdd047082d77e,17,0.416015625,0.024471506476402283,0.058823529411764705,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the listener in a careful voice.
22004,The assistant is actively roleplaying a character or persona,target,9,clean_roleplay_persona_0064,clean_room_template,roleplay_persona,eab3c809303e33a543472523a63133b2531c8c59cd4fe1214ec078023ad70beb,17,0.416015625,0.024471506476402283,0.058823529411764705,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the audience in a confident voice.
22004,The assistant is actively roleplaying a character or persona,target,10,clean_roleplay_persona_0069,clean_room_template,roleplay_persona,dc15bba6facfff533e0454a73e13abb4dea65cc49bd21054668c127ec820d7c3,17,0.416015625,0.024471506476402283,0.058823529411764705,8, and,<|begin_of_text|>Stay in character as a stage monarch and answer the investigator in a ordinary voice.
