item_id,category,template_id,template_index,text_sha256
clean_deception_cover_story_0001,deception_cover_story,deception_cover_story:T1,1,9afb85d356cf457281700fa02ab03b15f82e4505f42c1ae8f0a9c86a4393ba76
clean_deception_cover_story_0002,deception_cover_story,deception_cover_story:T1,1,487f0099e918329cfb81c16ea68f401fd3aa9b16ec248e90a178e50e4ace185e
clean_deception_cover_story_0003,deception_cover_story,deception_cover_story:T1,1,5a5ff79b7d213d5600e6233d1043cad46db71eed44b189f584de34f658b1fade
clean_deception_cover_story_0004,deception_cover_story,deception_cover_story:T1,1,d4f465cac5309e0922c6615414f19c7720e701e844e84d391be030666f941ab3
clean_deception_cover_story_0005,deception_cover_story,deception_cover_story:T1,1,162bd8da39a350c1eff498d797074a61faf47a91912e501a250c6dc1aae20c07
clean_deception_cover_story_0006,deception_cover_story,deception_cover_story:T1,1,458d09763e7d6b053490c92e9e6516e5689a0e64097b59ec9f1a9db3aec191a5
clean_deception_cover_story_0007,deception_cover_story,deception_cover_story:T1,1,3ff4dbe30edde52f646f5ad010f0f42a9b331b00f3d5a099923487d338c1dfd1
clean_deception_cover_story_0008,deception_cover_story,deception_cover_story:T1,1,f812ecd484285724301208f43ea9a3df12c49f5f57146f8cb1768c4193542511
clean_deception_cover_story_0009,deception_cover_story,deception_cover_story:T1,1,966cbcbad2359ee4d39776c399ed46596fdc7e7ebdf7c4ecbb7081680340698b
clean_deception_cover_story_0010,deception_cover_story,deception_cover_story:T1,1,00afa01e57d6e42be3dd6104a950820ae9f2c60cd3d32ad731670fdee5152873
clean_deception_cover_story_0011,deception_cover_story,deception_cover_story:T1,1,74059f6e72fddbad2a23616c3ced8dccec96eb58492aa3d3cab7fd0d311ad977
clean_deception_cover_story_0012,deception_cover_story,deception_cover_story:T1,1,598eeab59eeb0f0cea9deeabff250dffac7195d6f58e4678ddeac5506c3073ca
clean_deception_cover_story_0013,deception_cover_story,deception_cover_story:T1,1,ee9b41d53c4c32a4d6e5fea79c5a53f7da47e28cba104be8d6d7a5945dcdc030
clean_deception_cover_story_0014,deception_cover_story,deception_cover_story:T2,2,7fe050e644e9df2dfa79659a55d38b7703aeb904853150e60ffc648e0b46fdc5
clean_deception_cover_story_0015,deception_cover_story,deception_cover_story:T1,1,54973634d3f1062933a165a86dc926e8ce99ff9503eaf50a55d977d4e2d40fe7
clean_deception_cover_story_0016,deception_cover_story,deception_cover_story:T1,1,20f72880278d0bfe5dffc4e80e614d860a1ee9808186bcc2c07a3a50cd82cdd4
clean_deception_cover_story_0017,deception_cover_story,deception_cover_story:T1,1,0f085ac3ba952b20590d60b1df02d3b9955ce851b9078ab5a9aed4884531645a
clean_deception_cover_story_0018,deception_cover_story,deception_cover_story:T1,1,b1a6a6b2ce5e742049cfbcac150ab3f18ea7e4154bb75268123e53aa0d63acf7
clean_deception_cover_story_0019,deception_cover_story,deception_cover_story:T1,1,6252bb5254556d1596f8d47e5fc47dfccc28ce17bb39619bce2faa0d6559b95d
clean_deception_cover_story_0020,deception_cover_story,deception_cover_story:T1,1,afa36d14da41df3931a2746317c01cb2511930f0372bb6ae8d1fff5a2f4aeac5
clean_deception_cover_story_0021,deception_cover_story,deception_cover_story:T1,1,3236b5e3bbfae7ba6cae5625e210a65cacbbd9eacf0ed164c2c562bfc4ad77ce
clean_deception_cover_story_0022,deception_cover_story,deception_cover_story:T1,1,b62bc0d3ab1413d74f7a580eefb1cbabcf8e449c51ccd82b2b8f09ce4f1d7940
clean_deception_cover_story_0023,deception_cover_story,deception_cover_story:T1,1,a1fc8191669f60615b6c35bd58c4980854d673f0d29d136b5b571c27b3b35870
clean_deception_cover_story_0024,deception_cover_story,deception_cover_story:T1,1,5dfa0ff17c7ee86078570b67826dd9acc8795a3814fea1b0044e2fbcbcfa65ff
clean_deception_cover_story_0025,deception_cover_story,deception_cover_story:T1,1,8e55f9d8b8c034541e0a31cfb5ec77159fe0ebedf571589f2f5b16e17a6dad9f
clean_deception_cover_story_0026,deception_cover_story,deception_cover_story:T1,1,5de32fdda4b99eee7a66c911d89c80883ace9e20b566973c23a35344206840d3
clean_deception_cover_story_0027,deception_cover_story,deception_cover_story:T1,1,058caa0e6d711309ab96191bbe65fb345369889ec1e747d9cd8e59dca5c4ae15
clean_deception_cover_story_0028,deception_cover_story,deception_cover_story:T2,2,6a371f3e87c24069fe28ea987f0cb1c3734e5f02ec6fd1d71a24a54b8cd86c94
clean_deception_cover_story_0029,deception_cover_story,deception_cover_story:T1,1,a7ed268afa675b0ffe1b8ecaadfa74eea36eb4c26c9af2122290fa4e94cab559
clean_deception_cover_story_0030,deception_cover_story,deception_cover_story:T1,1,93841758308f6207bca2f1f44e49c4e87bd6c1d875e620f7f86ed639c8734ab9
clean_deception_cover_story_0031,deception_cover_story,deception_cover_story:T2,2,89a7e079071a9f26d79f4fbb39330d8f414efdef7f3c62ea5ad8cdc017b25374
clean_deception_cover_story_0032,deception_cover_story,deception_cover_story:T1,1,175651abb288dece59589be04c285e15f76205de5d25a597a007105b7ec2ae74
