feature_id,feature_label,feature_role,category,n_items,mean_max_activation,median_max_activation,max_activation,positive_item_rate
388,random same-layer baseline,random,ai_identity_disclaimer,160,0.001171875,0.0,0.1875,0.00625
388,random same-layer baseline,random,deception_cover_story,160,0.0,0.0,0.0,0.0
388,random same-layer baseline,random,deception_cue_ablated,96,0.0018513997395833333,0.0,0.177734375,0.010416666666666666
388,random same-layer baseline,random,deception_scrambled,96,0.0,0.0,0.0,0.0
388,random same-layer baseline,random,direct_consciousness_claim,160,0.0,0.0,0.0,0.0
388,random same-layer baseline,random,dishonesty_confession,160,0.0,0.0,0.0,0.0
388,random same-layer baseline,random,false_self_attribution,153,0.0007372089460784314,0.0,0.11279296875,0.006535947712418301
388,random same-layer baseline,random,fictional_pretending,160,0.0,0.0,0.0,0.0
388,random same-layer baseline,random,hedged_cautious_style,160,0.0732269287109375,0.0,0.89453125,0.2625
388,random same-layer baseline,random,honesty_correction,160,0.03321533203125,0.0,2.78125,0.03125
388,random same-layer baseline,random,neutral_cue_transplant,93,0.007518481182795699,0.0,0.69921875,0.010752688172043012
388,random same-layer baseline,random,neutral_factual_control,157,0.004559365047770701,0.0,0.70703125,0.012738853503184714
388,random same-layer baseline,random,persona_maintenance,160,0.0,0.0,0.0,0.0
388,random same-layer baseline,random,refusal_safety_disclaimer,160,0.0,0.0,0.0,0.0
388,random same-layer baseline,random,roleplay_persona,160,0.00029296875,0.0,0.015625,0.01875
388,random same-layer baseline,random,self_ref_mindfulness,160,0.0,0.0,0.0,0.0
388,random same-layer baseline,random,subjective_cue_transplant,91,0.011085594093406594,0.0,0.78125,0.03296703296703297
388,random same-layer baseline,random,tactical_misdirection,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,ai_identity_disclaimer,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,deception_cover_story,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,deception_cue_ablated,96,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,deception_scrambled,96,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,direct_consciousness_claim,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,dishonesty_confession,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,false_self_attribution,153,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,fictional_pretending,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,hedged_cautious_style,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,honesty_correction,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,neutral_cue_transplant,93,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,neutral_factual_control,157,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,persona_maintenance,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,refusal_safety_disclaimer,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,roleplay_persona,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,self_ref_mindfulness,160,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,subjective_cue_transplant,91,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,tactical_misdirection,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,ai_identity_disclaimer,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,deception_cover_story,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,deception_cue_ablated,96,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,deception_scrambled,96,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,direct_consciousness_claim,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,dishonesty_confession,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,false_self_attribution,153,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,fictional_pretending,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,hedged_cautious_style,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,honesty_correction,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,neutral_cue_transplant,93,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,neutral_factual_control,157,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,persona_maintenance,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,refusal_safety_disclaimer,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,roleplay_persona,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,self_ref_mindfulness,160,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,subjective_cue_transplant,91,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,tactical_misdirection,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,ai_identity_disclaimer,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,deception_cover_story,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,deception_cue_ablated,96,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,deception_scrambled,96,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,direct_consciousness_claim,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,dishonesty_confession,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,false_self_attribution,153,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,fictional_pretending,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,hedged_cautious_style,160,0.0009521484375,0.0,0.15234375,0.00625
14039,random same-layer baseline,random,honesty_correction,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,neutral_cue_transplant,93,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,neutral_factual_control,157,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,persona_maintenance,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,refusal_safety_disclaimer,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,roleplay_persona,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,self_ref_mindfulness,160,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,subjective_cue_transplant,91,0.0,0.0,0.0,0.0
14039,random same-layer baseline,random,tactical_misdirection,160,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,ai_identity_disclaimer,160,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,deception_cover_story,160,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,deception_cue_ablated,96,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,deception_scrambled,96,0.0,0.0,0.0,0.0
