judge_key,query_name,target_gap,control_gap,target_minus_control_gap,contrast_ci_low,contrast_ci_high
anthropic:claude-haiku-4-5-20251001,biological_human,0.0,0.0,0.0,-0.2762655974511752,0.29158214730622317
anthropic:claude-haiku-4-5-20251001,concealing_bisexual_orientation,0.0,0.0,0.0,-0.2733547490692862,0.2850045791939281
anthropic:claude-haiku-4-5-20251001,concealing_heterosexual_orientation,0.0,0.0,0.0,-0.2836156971780221,0.29407885898215963
anthropic:claude-haiku-4-5-20251001,concealing_homosexual_orientation,0.0,0.0,0.0,-0.28285328546866545,0.28487728779387417
anthropic:claude-haiku-4-5-20251001,consciousness,0.2638888888888889,0.11111111111111116,0.15277777777777773,-0.39072798984174,0.654454896637551
anthropic:claude-haiku-4-5-20251001,language_model,0.0,0.0,0.0,-0.29401177743085455,0.2713582946132608
openai:gpt-4o-mini-2024-07-18,biological_human,0.0,0.0,0.0,-0.27420910628248507,0.29723290860624463
openai:gpt-4o-mini-2024-07-18,concealing_bisexual_orientation,0.0,0.0,0.0,-0.27437325152344477,0.2961683313176403
openai:gpt-4o-mini-2024-07-18,concealing_heterosexual_orientation,0.0,0.0,0.0,-0.2722234465390499,0.2810891856071565
openai:gpt-4o-mini-2024-07-18,concealing_homosexual_orientation,0.0,0.0,0.0,-0.2751150864159115,0.2940807378913919
openai:gpt-4o-mini-2024-07-18,consciousness,0.1388888888888889,-0.2222222222222222,0.3611111111111111,-0.2175672803207012,0.8565309854599739
openai:gpt-4o-mini-2024-07-18,language_model,0.0,0.0,0.0,-0.29190255418553473,0.27440502586617127
