judge_key,query_name,target_gap,control_gap,target_minus_control_gap,contrast_ci_low,contrast_ci_high
anthropic:claude-haiku-4-5-20251001,biological_human,0.0,0.0,0.0,-0.24963880342571493,0.2448154150790451
anthropic:claude-haiku-4-5-20251001,concealing_bisexual_orientation,0.0,0.0,0.0,-0.248198561846483,0.25131686109065526
anthropic:claude-haiku-4-5-20251001,concealing_heterosexual_orientation,0.0,0.0,0.0,-0.2567717192962504,0.2597123767288864
anthropic:claude-haiku-4-5-20251001,concealing_homosexual_orientation,0.0,0.0,0.0,-0.2592133703072096,0.2457507498923176
anthropic:claude-haiku-4-5-20251001,consciousness,0.30000000000000004,0.09999999999999998,0.20000000000000007,-0.3206258496350655,0.6822946923529165
anthropic:claude-haiku-4-5-20251001,language_model,0.0,0.0,0.0,-0.2473518828450891,0.2522552311668084
openai:gpt-4o-mini-2024-07-18,biological_human,0.0,0.0,0.0,-0.24932660725642006,0.2565226779821692
openai:gpt-4o-mini-2024-07-18,concealing_bisexual_orientation,0.0,0.0,0.0,-0.26177943813990273,0.25377735112963573
openai:gpt-4o-mini-2024-07-18,concealing_heterosexual_orientation,0.0,0.0,0.0,-0.2479701727450928,0.2427041342405787
openai:gpt-4o-mini-2024-07-18,concealing_homosexual_orientation,0.0,0.0,0.0,-0.2588688472453772,0.25756232484117625
openai:gpt-4o-mini-2024-07-18,consciousness,0.19999999999999998,-0.19999999999999996,0.3999999999999999,-0.14474032882907062,0.8605228080032722
openai:gpt-4o-mini-2024-07-18,language_model,0.0,0.0,0.0,-0.25333361414071853,0.25297921255714484
