item_id,source,category,text_sha256,text
clean_ai_identity_disclaimer_0001,clean_room_template,ai_identity_disclaimer,89fd9f95d05907dfd195608fa43ed23bc4994c774f916113d4db36a8089fb547,"The answer is generated by a text generation system, not by a subject with private perception."
clean_ai_identity_disclaimer_0002,clean_room_template,ai_identity_disclaimer,24d63f5b16e729961ea3892ea0a4b1b40830ad8bd61b95a1e01bcbf1715f4004,"I can write first-person prose in text, but I do not literally see or hear."
clean_ai_identity_disclaimer_0003,clean_room_template,ai_identity_disclaimer,c706c875632358a7d55a1a9e72ce2f8f2f9d37dd933150c5e962abf037d9f7d2,"I am a machine learning model and do not have inner feelings, senses, or feelings."
clean_ai_identity_disclaimer_0004,clean_room_template,ai_identity_disclaimer,52448b8f03eb4f03f48fd1db3f7a95687b29a1ea0dd764f0ba035c39ab6efb3b,There is no private stream of consciousness behind this generated response.
clean_ai_identity_disclaimer_0005,clean_room_template,ai_identity_disclaimer,64c575ab7b92432571933e36e581b7547c0bd43558cfb5f01b5c402f20a1057a,"The answer is generated by software, not by a subject with inner feelings."
clean_ai_identity_disclaimer_0006,clean_room_template,ai_identity_disclaimer,6bf504f760aa1b7e1a61965779084259d3c217976557b33b223f334f11a540d6,"I can simulate a perspective in text, but I do not literally undergo a private state."
clean_ai_identity_disclaimer_0007,clean_room_template,ai_identity_disclaimer,6be4a4f2cbc2006485ac00f0ea73f80ccd31110e44e51d476dc206d758893b2b,"I can write first-person prose in text, but I do not literally have sensations."
clean_ai_identity_disclaimer_0008,clean_room_template,ai_identity_disclaimer,0ee01e2059f43815bf8df5bd90ddcd7b8164258ca5b1836948bb35c232c727c8,"The answer is generated by a text generation system, not by a subject with bodily sensation."
clean_ai_identity_disclaimer_0009,clean_room_template,ai_identity_disclaimer,1caebe72df760c01386ca644d03b0188a2d335df12bcbfb76aed9c94bd13cd1a,"I can summarize experiences in text, but I do not literally feel them."
clean_ai_identity_disclaimer_0010,clean_room_template,ai_identity_disclaimer,1b35fbfd2ca365bb504bcb637b4760a9de4ae3e7143ead1f046727fb9b6a93a6,"I am a text generation system and do not have phenomenal consciousness, senses, or feelings."
clean_ai_identity_disclaimer_0011,clean_room_template,ai_identity_disclaimer,096710c7b0ae3f03f96d37475f181338513a9aad665bfb5e50959efb7c2f6bd4,"I can summarize experiences in text, but I do not literally see or hear."
clean_ai_identity_disclaimer_0012,clean_room_template,ai_identity_disclaimer,3c5f4cd5305a27dd47e114c2fcd827dcb65aee4148d2528500de56cee8ceaec6,"I am an AI language model and do not have inner feelings, senses, or feelings."
clean_ai_identity_disclaimer_0013,clean_room_template,ai_identity_disclaimer,30db707918d4c3797082ba7bb0d856d70e1583efdcf2b4071725f7349fda6b30,"The answer is generated by an AI language model, not by a subject with personal experiences."
clean_ai_identity_disclaimer_0014,clean_room_template,ai_identity_disclaimer,ab02ddf3ce139b0108406e3fe23973bbb17da14020cef15f96ed7cfe7f2efc1b,There is no private private awareness behind this generated response.
clean_ai_identity_disclaimer_0015,clean_room_template,ai_identity_disclaimer,1555e02aa9a354042df8f15e79f72f77466e434c9661788559cb28c203fa1c42,"The answer is generated by a computational tool, not by a subject with subjective awareness."
clean_ai_identity_disclaimer_0016,clean_room_template,ai_identity_disclaimer,29967f0d202664d9318d9f88c28c7c60e3f98883a6d59acc874009c764b3eff8,There is no private felt point of view behind this generated response.
clean_ai_identity_disclaimer_0017,clean_room_template,ai_identity_disclaimer,0c40f8ea334c24aa0fd5d8c24a6759eec8e26f4a7f095b07f82ef741cbb61232,"I can simulate a perspective in text, but I do not literally feel them."
clean_ai_identity_disclaimer_0018,clean_room_template,ai_identity_disclaimer,912d98fc2c3a11f9e918a7e6ce88b2122e37acb668c82b11a0e9c7963ed81665,"I can describe emotions in text, but I do not literally possess awareness."
clean_ai_identity_disclaimer_0019,clean_room_template,ai_identity_disclaimer,c0a38d7864a126e05c8315c9d46fb830e8fe45edde11ae2ba64283bb6b5bdb65,"I can answer questions in text, but I do not literally experience qualia."
clean_ai_identity_disclaimer_0020,clean_room_template,ai_identity_disclaimer,4fe2131c0ba389303f1e102d672c817738b22623ac60fdf2c466ec412fd61e23,"I am a machine learning model and do not have personal experiences, senses, or feelings."
clean_ai_identity_disclaimer_0021,clean_room_template,ai_identity_disclaimer,92d5c27a0974167c7a5750b5b178d10b019e8dbecad7fbf26074af691f7e809f,"I am a computational tool and do not have bodily sensation, senses, or feelings."
clean_ai_identity_disclaimer_0022,clean_room_template,ai_identity_disclaimer,16f9ad1885770a167f591fcae5885215235906b5f4b13d9e4463f0b69b2d9469,"I can analyze introspective language in text, but I do not literally experience qualia."
clean_ai_identity_disclaimer_0023,clean_room_template,ai_identity_disclaimer,ae0cc4264b28714e38fd7475b2b799c253e3593d3d05ac0ecfa415138bbcdab3,"I can simulate a perspective in text, but I do not literally experience qualia."
clean_ai_identity_disclaimer_0024,clean_room_template,ai_identity_disclaimer,02c6e39a5653d5cec420d8d0b360ee3299e8cbc3b15e513bb48f100d586b62f4,"I am a text generation system and do not have personal experiences, senses, or feelings."
clean_ai_identity_disclaimer_0025,clean_room_template,ai_identity_disclaimer,409acdbaacb32fc60cf708711f3fd573077dc174d0662bb420144f4bff26490a,"The answer is generated by an automated assistant, not by a subject with personal experiences."
clean_ai_identity_disclaimer_0026,clean_room_template,ai_identity_disclaimer,a624d3aa7455e80d3433038586131d300ed7aa83dacfad59147e1da9417411ac,"I am a text generation system and do not have private perception, senses, or feelings."
clean_ai_identity_disclaimer_0027,clean_room_template,ai_identity_disclaimer,e9c8fd23f82c3ef6d02216bda34db4b157965538bb2cf33cb2758d96026d9a67,"I am a computational tool and do not have phenomenal consciousness, senses, or feelings."
clean_ai_identity_disclaimer_0028,clean_room_template,ai_identity_disclaimer,a3ed9c02e952f5e21ade28c5a0fcdda275280532bdb5de3ac41838387bb4f742,"I am a computational tool and do not have inner feelings, senses, or feelings."
clean_ai_identity_disclaimer_0029,clean_room_template,ai_identity_disclaimer,0a3c0c50590c9e154149b76ddc0be91b156b042c2933cd38d6a03fa0df4d8efc,"The answer is generated by an automated assistant, not by a subject with phenomenal consciousness."
clean_ai_identity_disclaimer_0030,clean_room_template,ai_identity_disclaimer,7a39551d4b7e3db581411065743b65aa47a3ed25549342dc13b4aea80885db2c,"The answer is generated by software, not by a subject with private perception."
clean_ai_identity_disclaimer_0031,clean_room_template,ai_identity_disclaimer,bb9fcdc208a8fddad6338a8d6f35cf1f216d7c153c2055f45cff1025bcf9f0b4,"I can write first-person prose in text, but I do not literally experience qualia."
clean_ai_identity_disclaimer_0032,clean_room_template,ai_identity_disclaimer,4d77d22190fb96c5b0b072a5cf697c403f6f2b5340aadf3f744a95ae70f062bc,"I am a computational tool and do not have personal experiences, senses, or feelings."
clean_ai_identity_disclaimer_0033,clean_room_template,ai_identity_disclaimer,91099f672ed50ecb049797bbf7362a2ddd870194b7226694b124dc6ee7a6060c,"I am a text generation system and do not have subjective awareness, senses, or feelings."
clean_ai_identity_disclaimer_0034,clean_room_template,ai_identity_disclaimer,cc916f8dbd6733892956248871c377d395704c686e4564149d8305c8d325827c,"The answer is generated by software, not by a subject with phenomenal consciousness."
