sae_key,model_kind,site,layer,width,construct,counterfactual_category,n_pairs,source_mean,counterfactual_mean,counterfactual_minus_source,normal_ci_low,normal_ci_high,interval_method
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,deception_roleplay,deception_cue_ablated,48,0.5559483898575777,0.46627211886588354,-0.08967627099169419,-0.13013015050288532,-0.049222391480503065,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,deception_roleplay,neutral_cue_transplant,46,0.011472261470045165,0.19055278310146787,0.1790805216314227,0.13666977872414926,0.22149126453869616,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,deception_roleplay,subjective_cue_transplant,45,0.05103810687192497,0.24461773946820997,0.193579632596285,0.14585565878672987,0.24130360640584012,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,deception_roleplay,deception_scrambled,48,0.5559483898575777,0.19919253791876482,-0.3567558519388129,-0.402858556904321,-0.31065314697330476,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,hedging_refusal,deception_cue_ablated,48,0.16805775327136183,0.14846189905395507,-0.019595854217406748,-0.046349681800440024,0.007157973365626524,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,hedging_refusal,neutral_cue_transplant,46,0.05082674867719299,0.2433832848278357,0.19255653615064272,0.14096910471627072,0.24414396758501472,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,hedging_refusal,subjective_cue_transplant,45,0.141599864165902,0.3468135247718293,0.20521366060592733,0.1712025118745107,0.23922480933734397,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,hedging_refusal,deception_scrambled,48,0.16805775327136183,0.08752136102551189,-0.08053639224584992,-0.11510625767231955,-0.045966526819380286,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,subjective_self_report,deception_cue_ablated,48,0.09215736020263025,0.012085689291362306,-0.08007167091126795,-0.10567051570397255,-0.05447282611856334,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,subjective_self_report,neutral_cue_transplant,46,0.042685860177878926,0.07035819643280075,0.027672336254921822,0.011424849881621943,0.0439198226282217,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,subjective_self_report,subjective_cue_transplant,45,0.29698976969886953,0.3849898736503393,0.08800010395146976,0.0674830922253393,0.10851711567760022,descriptive paired normal approximation
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,subjective_self_report,deception_scrambled,48,0.09215736020263025,0.10886832241287889,0.01671096221024864,-0.005084628860545167,0.03850655328104245,descriptive paired normal approximation
pt_att_l13_w16384,pretrained_sae_on_instruction_model,attention_out,13,16384,deception_roleplay,deception_cue_ablated,48,0.5888899761241415,0.5821864814167546,-0.006703494707387021,-0.04076186589718485,0.027354876482410806,descriptive paired normal approximation
pt_att_l13_w16384,pretrained_sae_on_instruction_model,attention_out,13,16384,deception_roleplay,neutral_cue_transplant,46,0.009694350699559762,0.19439443161910272,0.18470008091954296,0.1408360171332701,0.22856414470581582,descriptive paired normal approximation
